instance,N,tmax,outcome,outcome_reported,n_points,n_extend_points,t_max_reached,F_min,nsamp_extend
instance_11_d_6,15,1.4648776205100078,crossed,not_extended,8,0,2.0,0.03579078264592681,
instance_120_d_6,15,0.7341316665378577,crossed,not_extended,8,0,2.0,0.00041296463314210996,
instance_123_d_6,15,1.6411643659200221,crossed,not_extended,8,0,2.0,0.04470487602011417,
instance_124_d_6,15,0.8657499798082268,crossed,not_extended,8,0,2.0,0.011616402006620775,
instance_126_d_5,15,0.7235189487631359,crossed,not_extended,8,0,2.0,0.001609849503802252,
instance_127_d_6,15,0.7417149357465127,crossed,not_extended,8,0,2.0,0.004243903901806334,
instance_128_d_14,15,5.008509396424452,crossed,wall_cap,12,4,5.712200000000002,0.06483737842467982,8
instance_128_d_9,15,4.585450586087585,crossed,wall_cap,12,4,5.712200000000002,0.07191124298613188,8
instance_12_d_14,15,10.261549879722093,crossed,wall_cap,15,7,12.549703400000006,0.06113263133479788,8
instance_131_d_6,15,1.2493652248409626,crossed,not_extended,8,0,2.0,0.012772549404326127,
instance_132_d_6,15,0.985647439099003,crossed,not_extended,8,0,2.0,0.006755497166886925,
instance_133_d_7,15,0.965875673492985,crossed,not_extended,8,0,2.0,0.001740999000321608,
instance_134_d_14,15,1.5496170264115925,crossed,not_extended,8,0,2.0,0.042934982308361215,
instance_134_d_9,15,1.4025087301856225,crossed,not_extended,8,0,2.0,0.01702883320613182,
instance_135_d_6,15,1.2148236939458985,crossed,not_extended,8,0,2.0,0.0132385227298073,
instance_135_d_9,15,0.9483862491115935,crossed,not_extended,8,0,2.0,0.0010466696599905844,
instance_136_d_7,15,0.8945293833494449,crossed,not_extended,8,0,2.0,0.006181369301339145,
instance_137_d_6,15,1.1699789591011887,crossed,not_extended,8,0,2.0,0.015493737555516418,
instance_138_d_8,15,1.20249709465657,crossed,not_extended,8,0,2.0,0.020010821594041772,
instance_138_d_9,15,2.6983064857441272,crossed,wall_cap,10,2,3.3800000000000003,0.051356386936585244,8
instance_139_d_9,15,1.2644032898126893,crossed,not_extended,8,0,2.0,0.020874329568323448,
instance_13_d_7,15,0.8765615044002122,crossed,not_extended,8,0,2.0,0.005759766310802661,
instance_140_d_5,15,0.5603951485106392,crossed,not_extended,8,0,2.0,0.0010959808794723358,
instance_141_d_5,15,0.9423764081005548,crossed,not_extended,8,0,2.0,0.002442667893774342,
instance_143_d_5,15,1.1761654025699044,crossed,not_extended,8,0,2.0,0.005577901494689286,
instance_144_d_12,15,1.00411012157115,crossed,not_extended,8,0,2.0,0.0028627924533793704,
instance_144_d_6,15,3.524460161134647,crossed,wall_cap,11,3,4.394000000000001,0.05674273728464016,8
instance_146_d_5,15,0.862735918042562,crossed,not_extended,8,0,2.0,0.005377829478675267,
instance_146_d_6,15,1.2338119210113938,crossed,not_extended,8,0,2.0,0.019518572583911008,
instance_148_d_5,15,1.9563878727751276,crossed,not_extended,8,0,2.0,0.09189498390624067,
instance_149_d_5,15,1.5882743055226423,crossed,not_extended,8,0,2.0,0.04522208205089555,
instance_149_d_6,15,0.9663900224709976,crossed,not_extended,8,0,2.0,0.0024472526158206163,
instance_14_d_7,15,2.120946608584472,crossed,crossed,9,1,2.6,0.05372190317651633,8
instance_150_d_6,15,1.1761623466217033,crossed,not_extended,8,0,2.0,0.012871832725795684,
instance_152_d_7,15,1.0989785516902137,crossed,not_extended,8,0,2.0,0.014436406172899296,
instance_153_d_13,15,14.650399880516837,crossed,wall_cap,16,8,16.31461442000001,0.07376671152100356,8
instance_153_d_7,15,0.7549956952871786,crossed,not_extended,8,0,2.0,0.005097633930563461,
instance_155_d_7,15,2.5849549357722728,crossed,crossed,9,1,2.6,0.09867207860786331,8
instance_161_d_6,15,0.8382990938417624,crossed,not_extended,8,0,2.0,0.0032323552564776036,
instance_164_d_14,15,11.623364099126087,crossed,wall_cap,15,7,12.549703400000006,0.07376796167361811,8
instance_164_d_7,15,1.144422043439025,crossed,not_extended,8,0,2.0,0.014296455536532448,
instance_167_d_14,15,4.002731976398955,crossed,wall_cap,11,3,4.394000000000001,0.07223700059053437,8
instance_167_d_5,15,0.8027664678783928,crossed,not_extended,8,0,2.0,-0.0003028073515451979,
instance_169_d_5,15,1.608679237788821,crossed,not_extended,8,0,2.0,0.04405409328755923,
instance_169_d_9,15,1.2116796900072242,crossed,not_extended,8,0,2.0,0.02573877151226043,
instance_16_d_14,15,3.1577360151813023,crossed,in_progress,10,2,3.3800000000000003,0.07334019766074468,
instance_16_d_5,15,1.2078614356582233,crossed,not_extended,8,0,2.0,0.012541782762491493,
instance_16_d_6,15,0.8983746353546196,crossed,not_extended,8,0,2.0,0.002435974997933954,
instance_172_d_8,15,1.906887719518866,crossed,not_extended,8,0,2.0,0.07875275004116702,
instance_176_d_14,15,1.3991204187235238,crossed,not_extended,8,0,2.0,0.016390808009600733,
instance_176_d_6,15,1.1595105502277523,crossed,not_extended,8,0,2.0,0.021227248190552928,
instance_177_d_6,15,1.0006931933448344,crossed,not_extended,8,0,2.0,0.009829133481252939,
instance_177_d_7,15,1.0694223148640556,crossed,not_extended,8,0,2.0,0.020417471646214835,
instance_179_d_8,15,2.099230437950551,crossed,crossed,9,1,2.6,0.06562171975556146,8
instance_17_d_14,15,14.924716952790948,crossed,wall_cap,16,8,16.31461442000001,0.0780557232434726,8
instance_17_d_15,15,6.269088577099481,crossed,wall_cap,13,5,7.425860000000003,0.06397017886245285,8
